id_componente,codigo,nivel,nome,unidade_responsavel
25272,DMP0011,G,IMUNOLOGIA,DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA
25273,DMP0016,G,IMUNOLOGIA BASICA,DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA
25274,DMP0022,G,IMUNOLOGIA,DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA
25275,DMP0023,G,IMUNOLOGIA BASICA II,DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA
25276,DMP0021,G,PARASITOLOGIA BASICA,DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA
25277,DOD0111,G,MATERIAIS DENTARIOS,DEPARTAMENTO DE ODONTOLOGIA
25278,DOD0031,G,OCLUSAO,DEPARTAMENTO DE ODONTOLOGIA
25279,DOD0047,G,CLINICA INTEGRADA,DEPARTAMENTO DE ODONTOLOGIA
25281,DOL0026,G,INTRODUÇÃO À OCEANOGRAFIA E LIMNOLOGIA I,DEPARTAMENTO DE OCEANOGRAFIA E LIMNOLOGIA
25282,DOL0001,G,INTROD OCEANOGRAFIA LIMNOLOGIA,DEPARTAMENTO DE OCEANOGRAFIA E LIMNOLOGIA
25283,DPR0118,G,ASSISTENCIA JURIDICA IV,DEPARTAMENTO DE DIREITO PRIVADO - DIPRI
25284,CSH0013,G,DIREITO E LEGISLACAO SOCIAL,CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
25285,CSH0012,G,ELEMENTOS DE DIREITO COMERCIAL,CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
25286,CSH0014,G,LEGISLACAO SOC E TRABALHISTA,CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
25287,ESE0615,G,CONTRATOS,CERES - DEPTO ESTUDOS SOCIAIS E EDUCACIONAIS
25288,DPR0010,G,DIREITO DO TRABALHO II- INDIVIDUAL,DEPARTAMENTO DE DIREITO PRIVADO - DIPRI
25290,DPR0217,G,DIREITO DO TRABALHO III,DEPARTAMENTO DE DIREITO PRIVADO - DIPRI
25291,PRO0500,G,DINAMICA DA PRODUÇAO E ENERGIA,DEPARTAMENTO DE ENGENHARIA PRODUÇÃO
25292,TEX0243,G,PROJETOS NA INDUSTRIA TEXTIL,DEPARTAMENTO DE ENGENHARIA TÊXTIL
25293,DPU0100,G,INTRODUCAO A CIENCIA DO DIREITO I,DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
25294,CSH0009,G,INSTITUICOES DO DIREITO PUBLICO E PRIVADO,CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
25295,CSH0010,G,ELEMENTOS DE DIREITO ADMINISTRATIVO,CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
25296,DCS0005,G,CIENCIA POLITICA I,DEPARTAMENTO DE CIÊNCIAS SOCIAIS
25297,CSH0011,G,LEGISLACAO TRIBUTARIA,CERES - DEPTO CIÊNCIAS SOCIAIS E HUMANAS
25298,ESE0603,G,FILOSOFIA DO DIREITO,CERES - DEPTO ESTUDOS SOCIAIS E EDUCACIONAIS
